time,event,p1,p2
4.300364276831289,3,35,45.0
4.309926411520543,3,175,174.0
4.311708601325799,3,197,88.0
4.327221720334575,6,50,114.0
4.356007252715794,3,149,114.0
4.357304926745216,3,31,167.0
4.380730680941869,6,156,126.0
4.3813546564849295,6,72,120.0
4.391566201531926,3,153,39.0
4.395625779230566,3,171,70.0
4.397510532142473,3,49,7.0
4.405981716742634,3,73,24.0
4.427086482343934,3,122,187.0
4.454003887652092,3,123,57.0
4.47076328066609,3,69,194.0
4.517112454483025,3,51,108.0
4.5310148335055995,3,186,131.0
4.531167280715513,3,75,38.0
4.544653631602797,6,22,119.0
4.5776961329538715,3,171,120.0
4.578764119778368,3,144,198.0
4.697578351134512,6,122,50.0
4.747821201684491,3,195,41.0
4.761417275783513,3,168,117.0
4.786937425041883,3,98,176.0
4.823634292484603,3,194,42.0
4.84860381093628,3,152,197.0
4.863783576869449,3,158,11.0
4.865620407071905,3,185,196.0
4.873393369551147,3,75,138.0
4.885567611140946,3,116,15.0
4.890096724589568,3,23,132.0
4.89310104910385,3,29,110.0
4.905981167957571,3,162,194.0
4.908247368338211,6,158,11.0
4.9187962964072485,6,197,168.0
4.923407904709604,3,185,36.0
4.949106716455342,3,159,184.0
4.9844541896010055,3,163,144.0
5.019470061507424,3,49,181.0
5.039640631804673,6,68,21.0
5.057473654955894,3,94,156.0
5.082594997110314,6,129,169.0
5.09818175100373,3,121,154.0
5.106999663711629,3,111,40.0
5.108383912066609,3,114,104.0
5.119721579292648,3,152,33.0
5.143473410432744,3,177,51.0
5.157203426342931,3,120,139.0
5.279051393577047,3,146,73.0
5.309307286659958,3,43,153.0
5.334427740496935,3,155,118.0
5.336606457054044,3,78,48.0
5.348855667561207,3,103,48.0
5.364425919527675,3,85,5.0
5.39407010169157,3,125,112.0
5.410786360250493,3,125,132.0
5.44593992801888,6,72,121.0
5.451112653947845,3,61,37.0
5.470252519382018,6,33,112.0
5.472383351442421,3,150,154.0
5.490409542762201,3,184,28.0
5.5216955593256545,3,136,66.0
5.551257204435553,3,19,45.0
5.552869816551939,3,171,58.0
5.601266964148502,3,49,192.0
5.6048922706352995,3,170,173.0
5.612978711424041,3,47,111.0
5.631731414808841,3,154,27.0
5.6363411880696574,3,126,155.0
5.638771054870901,3,175,39.0
5.690071086998798,3,99,88.0
5.7402244994878915,3,11,102.0
5.7890242728308205,3,121,158.0
5.792643685673404,3,65,141.0
5.822976400075535,3,46,114.0
5.827758749528057,3,195,61.0
5.840044804187014,3,174,84.0
5.855358175566149,3,63,195.0
5.862774332817381,3,89,68.0
5.894921163622729,3,97,137.0
5.914520598231172,3,170,146.0
5.93221116595539,3,147,188.0
5.947196829467697,3,99,95.0
5.960926761948705,3,26,168.0
5.969058224922629,3,155,77.0
5.975408344971522,6,114,171.0
6.007656326525647,6,171,125.0
6.048009860689818,3,117,7.0
6.053867993959103,3,104,98.0
6.071945079209262,3,120,30.0
6.115619578731345,3,149,115.0
6.148333944939316,6,125,63.0
6.181227962582675,6,188,72.0
6.184270914952972,3,68,10.0
6.1860900140207775,3,152,187.0
6.223791273033812,3,176,193.0
6.244389876405682,3,181,152.0
6.263995779396046,3,169,33.0
6.273016640215187,3,169,184.0
6.281478739790929,3,74,59.0
6.320922742309857,3,195,29.0
6.351153765837057,3,118,194.0
6.435545587804223,3,39,188.0
6.448790923294722,3,153,154.0
6.472761051005757,3,46,45.0
6.493444991491916,3,31,137.0
6.539532049264082,3,141,152.0
6.574057298667596,3,167,65.0
6.587820083756715,3,84,94.0
6.601549076897952,3,28,14.0
6.604558224971992,3,57,77.0
6.6308396532103595,3,132,181.0
6.644439656441256,3,170,188.0
6.654774117012628,3,88,135.0
6.6634835209173575,6,40,111.0
6.665372014248647,3,18,186.0
6.7015603724419215,3,183,2.0
6.727057375408938,3,189,32.0
6.737133974008476,6,32,58.0
6.750320253926829,3,114,7.0
6.753845148616484,6,172,71.0
6.815804714727721,3,131,108.0
6.8286279902792835,3,72,96.0
6.839244191126081,3,125,94.0
6.851511888241587,3,21,118.0
6.851558554058044,6,2,125.0
6.853726935774788,3,164,163.0
6.9189086242389815,3,144,1.0
6.933580594357611,3,192,36.0
6.961870151905615,3,156,35.0
6.987500024511617,3,195,199.0
7.034009573754652,3,144,72.0
7.035063737209505,3,13,43.0
7.0527207741715845,10,102,
7.065149715137273,3,29,188.0
7.09060856768579,3,29,45.0
7.101221997259609,3,154,81.0
7.102315674860551,3,109,190.0
7.122356558824805,3,74,61.0
7.138292982876525,3,178,39.0
7.152923338728687,3,84,14.0
7.169371765391218,6,114,142.0
7.1903527936134015,3,109,34.0
7.2011279732192595,6,94,84.0
7.213135081650564,6,0,40.0
7.217109634597099,3,186,49.0
7.218516212593907,1,0,102.0
7.220308544736635,3,98,181.0
7.237111323056511,3,81,169.0
7.238970259726079,3,109,198.0
7.264439897158991,1,72,102.0
7.271256840047898,6,152,181.0
7.288462263516575,3,181,151.0
7.289354937524708,3,80,75.0
7.291925397243226,6,164,163.0
7.297726727826649,3,196,139.0
7.339451334050792,3,180,162.0
7.427047048065539,3,17,117.0
7.43698046853766,6,48,120.0
7.471341844966562,3,14,15.0
7.480720026373096,3,192,16.0
7.5145784093817625,6,129,168.0
7.5192957365933255,3,125,130.0
7.533700374914469,3,108,70.0
7.5467731797300335,10,72,
7.551404017591411,3,114,55.0
7.567769823171098,3,23,195.0
7.605995231034238,3,31,32.0
7.645973512823825,6,171,170.0
7.676179347143218,3,117,97.0
7.677836127119628,3,76,149.0
7.683311471683361,4,102,129.0
7.6848462207062145,3,142,98.0
7.686284013141149,6,100,152.0
7.698178247035565,3,169,63.0
7.705934558790884,3,120,39.0
7.711568533911174,7,162,72.0
7.731270410470389,7,172,72.0
7.753962941439762,6,137,97.0
7.774957945729533,3,155,132.0
7.778138211751556,6,173,178.0
7.778684943489172,6,34,127.0
7.7862025097746,3,35,108.0
7.817574838168468,7,102,129.0
7.817693116777748,3,131,36.0
7.891047746974312,3,55,111.0
7.9096010268645225,3,160,11.0
7.911689537288175,3,114,180.0
7.97252953473666,3,134,0.0
8.022146382732007,3,187,79.0
8.043634006386366,3,63,162.0
8.066348207905508,3,123,39.0
8.07417535933522,3,13,131.0
8.112015887803196,6,194,69.0
8.137557514234421,3,156,85.0
8.138016607454746,1,96,72.0
8.150395375820045,3,142,116.0
8.161292549420363,3,198,194.0
8.171542497061633,3,35,181.0
8.20076481248897,3,46,85.0
8.202351057996177,3,137,132.0
8.208240133528378,6,36,159.0
8.218688893503657,6,85,146.0
8.237466521136612,3,58,32.0
8.31374822384849,3,179,108.0
8.318570127669267,3,11,43.0
8.338027408551334,3,175,90.0
8.349852250774882,6,43,98.0
8.387320069736635,6,155,126.0
8.421717239197577,3,132,98.0
8.424314572384047,1,179,102.0
8.441979080145076,6,98,181.0
8.444278325853931,3,143,84.0
8.454645468893306,3,100,193.0
8.45586822834211,3,57,89.0
8.485298795042077,3,95,57.0
8.485514156308211,3,80,191.0
8.497559784501274,3,61,144.0
8.5194358002022,6,156,91.0
8.520180742967206,3,27,45.0
8.525287336514106,6,35,164.0
8.538026400087904,3,146,31.0
8.553146098549181,1,80,72.0
8.566561580713971,3,71,188.0
8.567182691623065,3,82,117.0
8.56980122468586,3,144,66.0
8.599447916751098,3,36,92.0
8.601478713869462,3,146,145.0
8.602068844869429,6,16,192.0
8.616399329657137,3,176,66.0
8.639408238807183,7,72,114.0
8.67075242495169,3,179,131.0
8.685494037050086,6,95,24.0
8.704670983565894,3,152,143.0
8.706253906110545,3,51,143.0
8.709484768719172,6,50,188.0
8.778710292740085,3,39,154.0
8.807688808608162,3,103,92.0
8.822752142078501,3,47,92.0
8.92698899619157,7,129,72.0
8.93114282621485,3,20,35.0
8.931723711454952,3,96,170.0
8.9695368566937,3,154,62.0
8.979875371695023,3,76,29.0
9.061834355888791,3,175,162.0
9.077946651708912,3,151,85.0
9.090376757214756,6,179,97.0
9.100587862107753,3,125,46.0
9.145969131524794,3,132,9.0
9.164581159432398,3,31,81.0
9.188032382091913,6,40,149.0
9.193090584768589,6,40,171.0
9.22904803877168,3,51,156.0
9.267221767254563,3,108,134.0
9.275524695292518,3,35,176.0
9.28477303806488,6,61,134.0
9.30470865579627,3,159,33.0
9.307323393432709,6,95,194.0
9.312343452955998,3,36,159.0
9.32601672424226,3,169,183.0
9.336523669737943,3,131,40.0
9.359387745918484,3,36,96.0
9.360083987490158,3,138,179.0
9.372076856635436,6,163,65.0
9.388482400134798,6,45,66.0
9.39069566309313,3,15,92.0
9.404820841131151,6,14,2.0
9.407249432826527,3,186,173.0
9.414335676924528,3,12,134.0
9.417328002943723,9,80,
9.424365221480805,6,117,145.0
9.429655242551075,3,70,11.0
9.443357858830089,3,31,100.0
9.446151812433826,6,149,163.0
9.449348702254008,3,152,158.0
9.452411647166326,3,192,194.0
9.457728313856869,3,195,156.0
9.46618356953527,1,75,80.0
9.498157508337828,6,156,71.0
9.500318413515524,6,184,132.0
9.516844047582072,6,168,117.0
9.536653064882678,3,71,96.0
9.53977825558887,3,66,12.0
9.576018810732904,10,75,
9.599754812210108,7,80,135.0
9.606779667218477,3,166,14.0
9.63226042533566,6,87,58.0
9.662463460769056,3,117,42.0
9.66256588003455,3,74,181.0
9.671512065148201,3,81,122.0
9.682071363937851,3,77,94.0
9.686643070920356,1,138,75.0
9.7062212718151,3,97,159.0
9.714693356688839,7,102,179.0
9.726273163791328,1,100,72.0
9.734747711881857,3,123,95.0
9.748259992554237,3,158,59.0
9.777944981672546,3,191,145.0
9.778270763571944,3,2,160.0
9.796729888114607,6,59,33.0
9.843083270782218,1,191,80.0
9.850755493690794,3,100,176.0
9.856009407255403,3,64,59.0
9.884768679809412,3,64,176.0
9.901448984457149,3,57,119.0
9.910893567053042,3,39,81.0
9.931119478647366,3,112,2.0
9.952965701562922,3,121,0.0
9.958211672612785,6,97,159.0
9.987245218449141,3,12,172.0
10.004996926693563,6,120,69.0
10.035277668087186,6,55,114.0
10.039499427050853,3,88,12.0
10.071929770182555,6,73,171.0
10.076716671571157,6,64,170.0
10.107345982138396,3,139,172.0
10.109124326397792,3,95,115.0
10.124768993377122,3,153,164.0
10.159941368560697,3,24,95.0
10.160364907673898,3,129,143.0
10.174372704871129,3,82,83.0
10.190351206757335,3,197,138.0
10.192946626743218,3,85,130.0
10.202836203518535,3,145,32.0
10.286687665720434,3,26,114.0
10.309484519697648,3,57,163.0
10.310948259394356,3,179,146.0
10.314716396379575,3,46,185.0
10.322471478182122,2,102,
10.351380184775406,3,114,199.0
10.389431693384184,3,114,2.0
10.396464067799803,3,139,175.0
10.488636933060937,3,118,146.0
10.51216182714936,3,15,172.0
10.526979034538979,6,40,108.0
10.547986594405552,3,114,78.0
10.549810009933369,3,156,58.0
10.557467472859692,3,163,120.0
10.60441433361932,3,84,167.0
10.607377578401348,9,100,
10.612515307119398,6,175,39.0
10.628739365034154,3,35,27.0
10.629867144354192,3,47,8.0
10.637099219896045,3,70,159.0
10.641825022339537,3,169,133.0
10.647499288771698,6,176,35.0
10.650552760293362,6,114,184.0
10.665028071143361,3,106,53.0
10.673791194699378,3,133,92.0
10.693212536562374,3,150,178.0
10.695848906501968,3,168,153.0
10.702587826284917,1,31,100.0
10.70696820123755,6,114,169.0
10.753705594096104,3,99,192.0
10.7602247563705,3,32,66.0
10.799791743330013,7,72,108.0
10.852860719004704,6,131,110.0
10.855117422677624,3,108,11.0
10.859717839396952,2,75,
10.872176445750743,3,27,79.0
10.890258425442743,3,131,154.0
10.908807259905908,3,16,21.0
10.935600641569813,3,15,125.0
11.028662364105948,1,144,100.0
11.101259988534652,3,32,175.0
11.103542502500355,3,25,138.0
11.12431892640604,2,72,
11.154421906096148,3,64,125.0
11.171922024382575,3,89,64.0
11.174428824805835,6,97,156.0
11.178304484423336,3,87,38.0
11.20977505517897,3,158,120.0
11.20997355910988,3,99,110.0
11.210320344414773,3,156,144.0
11.212958854212609,3,45,135.0
11.213177009808241,3,195,73.0
11.242106271434912,7,100,122.0
11.244198159088489,3,95,34.0
11.277675068067504,3,101,99.0
11.28060085795636,3,153,98.0
11.29222999748399,3,81,108.0
11.30329885060249,7,178,80.0
11.359570975953261,6,71,96.0
11.380668080875202,3,54,129.0
11.413948023937253,1,176,100.0
11.425154405797258,3,138,50.0
11.46597555905019,3,130,35.0
11.467223995013141,3,34,18.0
11.491425783071692,3,141,155.0
11.49219602349553,3,149,60.0
11.493549719486355,3,4,97.0
11.550271586083872,3,72,63.0
11.556631821258593,3,159,71.0
11.576200728402469,3,38,39.0
11.578072470456544,3,157,164.0
11.583636931449245,1,5,100.0
11.645753588492685,3,158,125.0
11.663450068446489,3,43,144.0
11.665786682808283,3,159,72.0
11.684419455974187,3,12,148.0
